stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\franc\source\repos\Dravok\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.00535] added dtor for sub_bitmap 000001F272DC2190, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00537] added dtor for sub_bitmap 000001F272DC2570, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00538] added dtor for sub_bitmap 000001F272DC15F0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00540] added dtor for sub_bitmap 000001F272DC19D0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00542] added dtor for sub_bitmap 000001F272DC17E0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00544] added dtor for sub_bitmap 000001F272DC2760, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00546] added dtor for sub_bitmap 000001F272DC1BC0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00548] added dtor for sub_bitmap 000001F272DC2950, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00549] added dtor for sub_bitmap 000001F272DC2B40, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00551] added dtor for sub_bitmap 000001F272DC1DB0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00553] added dtor for sub_bitmap 000001F272DC2D30, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00556] added dtor for sub_bitmap 000001F272DC7140, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00557] added dtor for sub_bitmap 000001F272DC61C0, func 00007FFF473D12CB
dtor     D               dtor.c:196  _al_register_destructor          [   0.00559] added dtor for sub_bitmap 000001F272DC5430, func 00007FFF473D12CB
